0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,label
-106.3006362915039,-105.78131866455078,-106.16219329833984,-107.23639678955078,-108.1029052734375,-107.07003021240234,-105.37198638916016,-105.33497619628906,-106.1959228515625,-108.13897705078124,-110.9613037109375,-112.58670806884766,-108.49720001220705,-107.16676330566406,-107.03683471679688,-106.81195831298828,-106.75760650634766,-106.95861053466795,-107.52769470214844,-108.03109741210938,-107.62644958496094,-106.58673095703124,-106.10645294189452,-106.37960815429688,-107.0555648803711,-107.62175750732422,-107.22083282470705,-106.24010467529295,-105.79879760742188,-105.90823364257812,-106.56129455566406,-107.88057708740234,-110.05609130859376,-112.86565399169922,-112.88484954833984,-108.33441162109376,-107.78750610351562,-107.32080841064452,-107.6086654663086,-107.72911071777344,-107.65725708007812,-107.1937484741211,-106.9270248413086,-106.76203155517578,-106.5431900024414,-106.3878936767578,-106.49942779541016,-107.05470275878906,-108.01530456542967,-109.07740020751952,1.0
-107.87247467041016,-108.74686431884766,-109.80631256103516,-108.8726577758789,-106.30500030517578,-106.25750732421876,-107.3499984741211,-109.6234130859375,-111.22140502929688,-108.19905090332033,-106.58283996582033,-107.66646575927734,-108.86408233642578,-110.47686004638672,-110.4717254638672,-109.6903076171875,-110.54044342041016,-111.88591003417967,-112.62714385986328,-111.65682983398438,-110.9320831298828,-110.41539001464844,-108.92473602294922,-107.38085174560548,-106.69202423095705,-106.92413330078124,-107.85161590576172,-109.09545135498048,-109.72159576416016,-109.15897369384766,-108.61772918701172,-108.71488189697266,-109.15099334716795,-109.86188507080078,-110.35140991210938,-109.69258880615234,-108.3941879272461,-107.96576690673828,-108.46336364746094,-109.79841613769533,-111.52769470214844,-111.89417266845705,-110.30396270751952,-110.18714904785156,-110.47904205322266,-109.7746124267578,-107.81539916992188,-106.71461486816406,-106.81207275390624,-107.81077575683594,1.0
-110.90647888183594,-110.82891845703124,-109.39888763427734,-108.21136474609376,-108.1451416015625,-108.88277435302734,-110.26498413085938,-111.5257568359375,-111.55298614501952,-111.18428802490234,-111.72856903076172,-112.23370361328124,-112.49373626708984,-112.80272674560548,-113.45178985595705,-112.89476776123048,-110.23847198486328,-108.7120590209961,-108.4454116821289,-108.87330627441406,-109.6152572631836,-109.7442855834961,-109.19245147705078,-109.47189331054688,-110.82209014892578,-112.46570587158205,-112.07656860351562,-109.61705017089844,-109.69743347167967,-110.71749877929688,-112.49980926513672,-112.39278411865234,-108.93836212158205,-108.15784454345705,-108.4061508178711,-109.3102798461914,-109.94031524658205,-108.8145523071289,-106.91492462158205,-106.41910552978516,-106.6014633178711,-107.63756561279295,-109.48765563964844,-112.18323516845705,-113.62198638916016,-109.40982055664062,-107.63284301757812,-107.44552612304688,-107.74353790283205,-109.0675811767578,1.0
-98.28933715820312,-98.39571380615234,-96.2814483642578,-95.8835220336914,-96.8791732788086,-99.12565612792967,-101.29359436035156,-97.02037048339844,-94.74939727783205,-95.48766326904295,-96.50865173339844,-99.40109252929688,-102.37442779541016,-97.5250244140625,-95.22760772705078,-96.11621856689452,-96.57711791992188,-98.21853637695312,-98.8773193359375,-97.58563995361328,-96.7746124267578,-97.2445068359375,-98.05106353759766,-98.63446807861328,-97.82530212402344,-96.95925903320312,-97.22930145263672,-98.20885467529295,-99.1864242553711,-98.1259994506836,-96.02731323242188,-95.67633819580078,-95.96852111816406,-97.18289947509766,-98.8328857421875,-100.00887298583984,-99.23770904541016,-98.37104034423828,-98.00602722167967,-97.29441833496094,-96.6654281616211,-96.61524200439452,-97.51669311523438,-99.5685577392578,-102.9427719116211,-104.31619262695312,-97.71705627441406,-98.09373474121094,-97.21168518066406,-98.08751678466795,1.0
-96.22069549560548,-97.13386535644533,-97.7623519897461,-98.63621520996094,-98.17173767089844,-97.1447525024414,-96.54508209228516,-96.38655090332033,-96.70027923583984,-97.51405334472656,-98.6727294921875,-99.36325073242188,-98.51830291748048,-97.38249969482422,-97.20269775390624,-97.541015625,-98.10990142822266,-98.08643341064452,-97.24601745605467,-96.9142074584961,-97.3863754272461,-97.77304077148438,-96.28157806396484,-93.61874389648438,-92.58124542236328,-92.3522491455078,-93.21965026855467,-95.33480072021484,-98.95733642578124,-100.7983627319336,-93.37235260009766,-93.78909301757812,-93.22907257080078,-94.44341278076172,-95.7661361694336,-97.80191802978516,-98.39462280273438,-97.69598388671876,-98.22901153564452,-99.4277572631836,-100.15959167480467,-98.6688003540039,-97.11819458007812,-97.02669525146484,-97.6035614013672,-98.95024871826172,-100.14292907714844,-99.7043228149414,-98.79242706298828,-99.3125457763672,1.0
-101.65046691894533,-103.62381744384766,-100.43177795410156,-99.26482391357422,-99.77775573730467,-99.4900894165039,-98.7001495361328,-98.0613784790039,-98.63687896728516,-100.43206787109376,-103.57860565185548,-106.29890441894533,-100.86277770996094,-99.00435638427734,-99.70711517333984,-100.08120727539062,-100.42269897460938,-99.38445281982422,-98.59613037109376,-99.10577392578124,-100.54591369628906,-102.32184600830078,-102.16509246826172,-99.85528564453124,-99.77232360839844,-100.61155700683594,-102.04988861083984,-103.04199981689452,-102.49980926513672,-102.16659545898438,-102.68054962158205,-101.94459533691406,-99.48959350585938,-97.8916015625,-97.61581420898438,-98.19046783447266,-99.6199722290039,-101.33441925048828,-101.8371810913086,-100.69026947021484,-100.91345977783205,-102.41580963134766,-104.63748168945312,-104.97074127197266,-100.60108947753906,-99.55469512939452,-99.63805389404295,-100.66355895996094,-102.2611083984375,-103.26609802246094,1.0
-100.5531768798828,-100.8002700805664,-99.71973419189452,-99.0344467163086,-99.79492950439452,-101.52481842041016,-103.39368438720705,-101.54238891601562,-98.16514587402344,-98.19850158691406,-98.34881591796876,-99.52100372314452,-100.83687591552734,-102.20198822021484,-102.90587615966795,-102.20353698730467,-99.53013610839844,-97.48312377929688,-96.6742172241211,-96.72604370117188,-97.70160675048828,-99.33950805664062,-100.6201171875,-99.864013671875,-99.037109375,-99.81419372558594,-101.03914642333984,-102.4223861694336,-102.91685485839844,-103.03031158447266,-104.17219543457033,-104.79737854003906,-101.70648956298828,-98.82478332519533,-98.28897094726562,-98.47503662109376,-99.95965576171876,-102.45793151855467,-104.48795318603516,-101.6435089111328,-100.33446502685548,-101.89672088623048,-103.66522216796876,-104.8781509399414,-101.39766693115234,-100.29777526855467,-101.6886749267578,-104.12986755371094,-106.26325988769533,-100.5959243774414,1.0
-102.0093765258789,-103.72898864746094,-105.26349639892578,-105.12715911865234,-104.0683135986328,-103.41966247558594,-101.7410888671875,-100.28112030029295,-100.06432342529295,-101.20562744140624,-103.70077514648438,-105.5121078491211,-100.3454360961914,-98.17156219482422,-98.55230712890624,-98.9036865234375,-99.7251434326172,-99.7122573852539,-99.13314056396484,-99.56865692138672,-101.28115844726562,-103.87580108642578,-104.24015808105467,-99.68103790283205,-99.42693328857422,-100.35125732421876,-102.86247253417967,-106.25838470458984,-103.46681213378906,-98.6601333618164,-100.84456634521484,-101.92283630371094,-105.77237701416016,-104.19791412353516,-97.93804931640624,-99.11956024169922,-99.04458618164062,-101.1119155883789,-101.57383728027344,-100.12810516357422,-99.089599609375,-99.76642608642578,-100.42792510986328,-100.85791778564452,-100.8537139892578,-101.72994232177734,-103.32736206054688,-103.33668518066406,-100.11293029785156,-99.10298919677734,1.0
-102.80084991455078,-103.86541748046876,-103.68052673339844,-102.81475067138672,-103.00421142578124,-103.39414978027344,-103.04417419433594,-101.33433532714844,-100.13072204589844,-99.89552307128906,-100.32249450683594,-101.2508316040039,-102.28246307373048,-103.0423583984375,-103.42926788330078,-103.38810729980467,-102.61221313476562,-101.78816223144533,-101.73365020751952,-102.59182739257812,-104.06402587890624,-104.63068389892578,-102.67616271972656,-101.66320037841795,-102.35565185546876,-103.8804168701172,-105.51495361328124,-103.0542984008789,-99.66380310058594,-99.41917419433594,-99.30715942382812,-100.28099822998048,-101.375732421875,-101.83090209960938,-100.56584930419922,-99.87338256835938,-100.34465026855467,-101.57965850830078,-103.3755874633789,-104.04923248291016,-101.50283813476562,-99.6954345703125,-99.11486053466795,-98.66602325439452,-98.67620849609376,-99.2579345703125,-100.72151947021484,-103.07209777832033,-105.5063705444336,-104.29298400878906,1.0
-100.70223999023438,-99.4825210571289,-100.01790618896484,-101.5946807861328,-104.23004150390624,-104.94004821777344,-99.70838928222656,-98.9270477294922,-98.93218231201172,-99.76158905029295,-100.75396728515624,-101.4579849243164,-101.03915405273438,-100.82492065429688,-101.63943481445312,-103.3722686767578,-105.88348388671876,-106.62942504882812,-102.27090454101562,-101.18994903564452,-101.146484375,-101.90045928955078,-102.76428985595705,-102.3157730102539,-100.36537170410156,-99.77379608154295,-100.13491821289062,-100.92037963867188,-101.16963958740234,-100.10223388671876,-99.4199676513672,-100.16927337646484,-101.8836441040039,-103.74040222167967,-101.92244720458984,-98.5724639892578,-98.5901336669922,-98.7371597290039,-99.89845275878906,-101.20745086669922,-102.56537628173828,-103.2715301513672,-102.58456420898438,-99.93614196777344,-97.89568328857422,-97.08282470703124,-97.12970733642578,-98.09690856933594,-99.7236328125,-101.00010681152344,1.0
-102.24652099609376,-103.0409698486328,-103.8779296875,-103.96394348144533,-102.87406158447266,-101.828125,-100.94776916503906,-100.26473999023438,-100.16053771972656,-100.95655822753906,-102.83959197998048,-105.8152313232422,-107.19609832763672,-101.34895324707033,-99.60133361816406,-98.69310760498048,-98.16158294677734,-98.01940155029295,-98.64440155029295,-100.0102310180664,-102.02278137207033,-104.0097885131836,-104.3597412109375,-103.711181640625,-104.77755737304688,-106.48986053466795,-106.46770477294922,-102.28992462158205,-100.65875244140624,-100.21765899658205,-100.55826568603516,-101.52300262451172,-102.75773620605467,-103.10900115966795,-102.48968505859376,-102.50132751464844,-103.13551330566406,-103.6486587524414,-103.33248138427734,-102.75352478027344,-103.10928344726562,-104.26164245605467,-105.16891479492188,-103.8613739013672,-102.2656021118164,-102.8254852294922,-104.2747573852539,-105.56877136230467,-102.31526184082033,-99.44837188720705,1.0
