0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,label,v_mean,v_std,v_min,v_max,v_terminal,v_pos_ratio,v_neg_ratio,energy_velocity,a_mean,a_std,a_min,a_max,a_terminal,energy_accel
-72.7840347290039,-72.97395324707031,-73.00020599365234,-72.97798156738281,-71.06573486328125,-69.82561492919922,-71.82221984863281,-70.02533721923828,-70.25598907470703,-69.88505554199219,-68.561767578125,-70.1454849243164,-70.9548110961914,-69.16328430175781,-67.8360595703125,-67.39006805419922,-66.87139892578125,-65.63680267333984,-66.3614273071289,-67.05355834960938,-67.26441955566406,-67.22306823730469,-67.13398742675781,-67.07485961914062,-67.05384063720703,-68.01051330566406,-70.53378295898438,-70.07621765136719,-69.24957275390625,-68.91128540039062,-68.90738677978516,-69.0040512084961,-69.09085845947266,-69.14177703857422,-69.16273498535156,-69.16555786132812,-69.1595230102539,-69.15032958984375,-69.14091491699219,-69.13261413574219,-69.12583923339844,-69.12060546875,-69.11670684814453,-69.1138916015625,-69.11193084716797,-69.110595703125,-69.10971069335938,-69.10914611816406,-70.05773162841797,-68.29586791992188,1.0,0.09159524,0.87458426,-2.5232697,1.9122467,0.16321258,0.6530612244897959,0.3469387755102041,0.8793675,0.04066213,1.264309,-3.2367249,3.7934875,2.7104492,1.2649629
-72.97395324707031,-73.00020599365234,-72.97798156738281,-71.06573486328125,-69.82561492919922,-71.82221984863281,-70.02533721923828,-70.25598907470703,-69.88505554199219,-68.561767578125,-70.1454849243164,-70.9548110961914,-69.16328430175781,-67.8360595703125,-67.39006805419922,-66.87139892578125,-65.63680267333984,-66.3614273071289,-67.05355834960938,-67.26441955566406,-67.22306823730469,-67.13398742675781,-67.07485961914062,-67.05384063720703,-68.01051330566406,-70.53378295898438,-70.07621765136719,-69.24957275390625,-68.91128540039062,-68.90738677978516,-69.0040512084961,-69.09085845947266,-69.14177703857422,-69.16273498535156,-69.16555786132812,-69.1595230102539,-69.15032958984375,-69.14091491699219,-69.13261413574219,-69.12583923339844,-69.12060546875,-69.11670684814453,-69.1138916015625,-69.11193084716797,-69.110595703125,-69.10971069335938,-69.10914611816406,-70.05773162841797,-68.29586791992188,-67.41775512695312,1.0,0.1133918,0.8805851,-2.5232697,1.9122467,0.33856812,0.673469387755102,0.32653061224489793,0.8878556,0.018840948,1.271019,-3.2367249,3.7934875,-0.8837509,1.2711586
-63.124542236328125,-65.38380432128906,-69.05477142333984,-70.88838195800781,-70.81587219238281,-72.34239959716797,-73.46015930175781,-72.5256576538086,-69.91068267822266,-69.03103637695312,-71.01632690429688,-72.48970031738281,-73.46556091308594,-72.39337921142578,-72.90946197509766,-74.45082092285156,-73.44329833984375,-71.98755645751953,-73.21356964111328,-74.333251953125,-73.35096740722656,-73.43301391601562,-73.2695541381836,-75.0001449584961,-75.70886993408203,-76.2446060180664,-75.55216979980469,-75.47811889648438,-74.69255828857422,-75.61402130126953,-77.35195922851562,-77.34666442871094,-76.97584533691406,-76.78854370117188,-78.62648010253906,-77.10276794433594,-76.1541748046875,-75.949951171875,-75.53666687011719,-77.16317749023438,-77.84508514404297,-76.48900604248047,-78.72329711914062,-79.59219360351562,-79.61955261230469,-78.58314514160156,-77.93754577636719,-77.787109375,-78.30764770507812,-76.35191345214844,1.0,-0.26994634,1.2796255,-3.670967,2.614975,0.65352786,0.4897959183673469,0.5102040816326531,1.3077893,0.08781242,1.5834985,-3.5903702,3.3616486,2.4762726,1.5859313
-65.38380432128906,-69.05477142333984,-70.88838195800781,-70.81587219238281,-72.34239959716797,-73.46015930175781,-72.5256576538086,-69.91068267822266,-69.03103637695312,-71.01632690429688,-72.48970031738281,-73.46556091308594,-72.39337921142578,-72.90946197509766,-74.45082092285156,-73.44329833984375,-71.98755645751953,-73.21356964111328,-74.333251953125,-73.35096740722656,-73.43301391601562,-73.2695541381836,-75.0001449584961,-75.70886993408203,-76.2446060180664,-75.55216979980469,-75.47811889648438,-74.69255828857422,-75.61402130126953,-77.35195922851562,-77.34666442871094,-76.97584533691406,-76.78854370117188,-78.62648010253906,-77.10276794433594,-76.1541748046875,-75.949951171875,-75.53666687011719,-77.16317749023438,-77.84508514404297,-76.48900604248047,-78.72329711914062,-79.59219360351562,-79.61955261230469,-78.58314514160156,-77.93754577636719,-77.787109375,-78.30764770507812,-76.35191345214844,-74.94324493408203,1.0,-0.19509062,1.2682983,-3.670967,2.614975,0.72798,0.5102040816326531,0.4897959183673469,1.283215,0.105825745,1.5712082,-3.5903702,3.3616486,-0.54706573,1.5747681
-73.46015930175781,-72.5256576538086,-69.91068267822266,-69.03103637695312,-71.01632690429688,-72.48970031738281,-73.46556091308594,-72.39337921142578,-72.90946197509766,-74.45082092285156,-73.44329833984375,-71.98755645751953,-73.21356964111328,-74.333251953125,-73.35096740722656,-73.43301391601562,-73.2695541381836,-75.0001449584961,-75.70886993408203,-76.2446060180664,-75.55216979980469,-75.47811889648438,-74.69255828857422,-75.61402130126953,-77.35195922851562,-77.34666442871094,-76.97584533691406,-76.78854370117188,-78.62648010253906,-77.10276794433594,-76.1541748046875,-75.949951171875,-75.53666687011719,-77.16317749023438,-77.84508514404297,-76.48900604248047,-78.72329711914062,-79.59219360351562,-79.61955261230469,-78.58314514160156,-77.93754577636719,-77.787109375,-78.30764770507812,-76.35191345214844,-74.94324493408203,-74.47574615478516,-76.758544921875,-80.59198760986328,-82.09159851074219,-82.2269515991211,1.0,-0.17891413,1.2863966,-3.8334427,2.614975,-1.4567413,0.5102040816326531,0.4897959183673469,1.2987789,-0.022288641,1.6022673,-3.5903702,3.3616486,1.3642578,1.6024225
-72.5256576538086,-69.91068267822266,-69.03103637695312,-71.01632690429688,-72.48970031738281,-73.46556091308594,-72.39337921142578,-72.90946197509766,-74.45082092285156,-73.44329833984375,-71.98755645751953,-73.21356964111328,-74.333251953125,-73.35096740722656,-73.43301391601562,-73.2695541381836,-75.0001449584961,-75.70886993408203,-76.2446060180664,-75.55216979980469,-75.47811889648438,-74.69255828857422,-75.61402130126953,-77.35195922851562,-77.34666442871094,-76.97584533691406,-76.78854370117188,-78.62648010253906,-77.10276794433594,-76.1541748046875,-75.949951171875,-75.53666687011719,-77.16317749023438,-77.84508514404297,-76.48900604248047,-78.72329711914062,-79.59219360351562,-79.61955261230469,-78.58314514160156,-77.93754577636719,-77.787109375,-78.30764770507812,-76.35191345214844,-74.94324493408203,-74.47574615478516,-76.758544921875,-80.59198760986328,-82.09159851074219,-82.2269515991211,-81.60543823242188,1.0,-0.18530165,1.2816203,-3.8334427,2.614975,-1.4259384,0.5102040816326531,0.4897959183673469,1.2949469,-0.04153045,1.5871779,-3.5903702,3.3616486,0.75686646,1.5877212
-76.48900604248047,-78.72329711914062,-79.59219360351562,-79.61955261230469,-78.58314514160156,-77.93754577636719,-77.787109375,-78.30764770507812,-76.35191345214844,-74.94324493408203,-74.47574615478516,-76.758544921875,-80.59198760986328,-82.09159851074219,-82.2269515991211,-81.60543823242188,-79.84839630126953,-81.20984649658203,-82.5826416015625,-83.19711303710938,-82.9102554321289,-83.10201263427734,-81.03620910644531,-79.63358306884766,-80.6033935546875,-79.19550323486328,-78.91664123535156,-77.6481704711914,-76.7909927368164,-76.93107604980469,-76.19340515136719,-76.53485870361328,-77.34217834472656,-79.57870483398438,-81.76213836669922,-81.78445434570312,-81.81838989257812,-81.4754638671875,-81.30410766601562,-81.80712127685547,-80.39122009277344,-80.76822662353516,-81.85395050048828,-82.46332550048828,-80.78012084960938,-80.92996978759766,-81.8927993774414,-81.98824310302734,-80.43852996826172,-79.40448760986328,1.0,-0.059499625,1.2560911,-3.8334427,2.0658035,0.27512664,0.4489795918367347,0.5510204081632653,1.2574996,0.06809028,1.3880827,-3.1184921,2.4762726,-0.5156708,1.3897518
-79.59219360351562,-79.61955261230469,-78.58314514160156,-77.93754577636719,-77.787109375,-78.30764770507812,-76.35191345214844,-74.94324493408203,-74.47574615478516,-76.758544921875,-80.59198760986328,-82.09159851074219,-82.2269515991211,-81.60543823242188,-79.84839630126953,-81.20984649658203,-82.5826416015625,-83.19711303710938,-82.9102554321289,-83.10201263427734,-81.03620910644531,-79.63358306884766,-80.6033935546875,-79.19550323486328,-78.91664123535156,-77.6481704711914,-76.7909927368164,-76.93107604980469,-76.19340515136719,-76.53485870361328,-77.34217834472656,-79.57870483398438,-81.76213836669922,-81.78445434570312,-81.81838989257812,-81.4754638671875,-81.30410766601562,-81.80712127685547,-80.39122009277344,-80.76822662353516,-81.85395050048828,-82.46332550048828,-80.78012084960938,-80.92996978759766,-81.8927993774414,-81.98824310302734,-80.43852996826172,-79.40448760986328,-80.4677734375,-81.3617172241211,1.0,-0.036112726,1.2256005,-3.8334427,2.0658035,0.10621643,0.4489795918367347,0.5510204081632653,1.2261324,-0.01805385,1.4034706,-3.1184921,2.4762726,0.16934204,1.4035866
-77.34217834472656,-79.57870483398438,-81.76213836669922,-81.78445434570312,-81.81838989257812,-81.4754638671875,-81.30410766601562,-81.80712127685547,-80.39122009277344,-80.76822662353516,-81.85395050048828,-82.46332550048828,-80.78012084960938,-80.92996978759766,-81.8927993774414,-81.98824310302734,-80.43852996826172,-79.40448760986328,-80.4677734375,-81.3617172241211,-81.66849517822266,-81.67543029785156,-80.22972869873047,-79.27277374267578,-78.98173522949219,-78.97586059570312,-79.00811767578125,-79.00414276123047,-78.96737670898438,-80.30711364746094,-79.79249572753906,-79.12384033203125,-78.83258056640625,-78.78410339355469,-78.80953216552734,-78.8336181640625,-78.84048461914062,-80.22403717041016,-79.28103637695312,-78.79617309570312,-77.3341064453125,-76.4607925415039,-76.2150650024414,-77.14128875732422,-75.88724517822266,-76.21593475341797,-77.17232513427734,-78.58796691894531,-77.4261474609375,-79.13127899169922,1.0,-0.03651226,0.9528837,-2.2365265,1.6832047,-0.64880675,0.46938775510204084,0.5306122448979592,0.9535829,0.011070728,1.2293171,-2.866951,2.5774612,-2.866951,1.2293669
-81.78445434570312,-81.81838989257812,-81.4754638671875,-81.30410766601562,-81.80712127685547,-80.39122009277344,-80.76822662353516,-81.85395050048828,-82.46332550048828,-80.78012084960938,-80.92996978759766,-81.8927993774414,-81.98824310302734,-80.43852996826172,-79.40448760986328,-80.4677734375,-81.3617172241211,-81.66849517822266,-81.67543029785156,-80.22972869873047,-79.27277374267578,-78.98173522949219,-78.97586059570312,-79.00811767578125,-79.00414276123047,-78.96737670898438,-80.30711364746094,-79.79249572753906,-79.12384033203125,-78.83258056640625,-78.78410339355469,-78.80953216552734,-78.8336181640625,-78.84048461914062,-80.22403717041016,-79.28103637695312,-78.79617309570312,-77.3341064453125,-76.4607925415039,-76.2150650024414,-77.14128875732422,-75.88724517822266,-76.21593475341797,-77.17232513427734,-78.58796691894531,-77.4261474609375,-79.13127899169922,-81.0250473022461,-81.87637329101562,-81.62275695800781,1.0,0.0032999467,0.89398974,-1.8937683,1.6832047,-0.60695803,0.4897959183673469,0.5102040816326531,0.8939958,0.005990664,1.2094467,-2.866951,2.5774612,1.1049423,1.2094613
-77.3341064453125,-76.4607925415039,-76.2150650024414,-77.14128875732422,-75.88724517822266,-76.21593475341797,-77.17232513427734,-78.58796691894531,-77.4261474609375,-79.13127899169922,-81.0250473022461,-81.87637329101562,-81.62275695800781,-82.26907348632812,-82.38230895996094,-81.90426635742188,-79.78475952148438,-79.9360122680664,-81.47136688232422,-81.48699188232422,-81.13526153564453,-81.38031005859375,-81.14423370361328,-80.90959930419922,-81.27058410644531,-80.62860107421875,-79.64350891113281,-79.61082458496094,-80.71855163574219,-81.8833999633789,-82.38578033447266,-80.15410614013672,-78.57942962646484,-77.61482238769531,-78.22663879394531,-78.80648803710938,-77.59817504882812,-76.64553833007812,-77.67442321777344,-78.5020523071289,-78.75630950927734,-78.2700424194336,-78.8263168334961,-76.04359436035156,-77.35213470458984,-79.80097198486328,-81.50983428955078,-82.57609558105469,-82.961181640625,-83.49967956542969,1.0,-0.12582803,1.1073459,-2.4488373,2.7827225,-1.229509,0.40816326530612246,0.5918367346938775,1.114472,-0.029412746,1.4124463,-4.091263,3.338997,-0.15341187,1.4127525
-76.4607925415039,-76.2150650024414,-77.14128875732422,-75.88724517822266,-76.21593475341797,-77.17232513427734,-78.58796691894531,-77.4261474609375,-79.13127899169922,-81.0250473022461,-81.87637329101562,-81.62275695800781,-82.26907348632812,-82.38230895996094,-81.90426635742188,-79.78475952148438,-79.9360122680664,-81.47136688232422,-81.48699188232422,-81.13526153564453,-81.38031005859375,-81.14423370361328,-80.90959930419922,-81.27058410644531,-80.62860107421875,-79.64350891113281,-79.61082458496094,-80.71855163574219,-81.8833999633789,-82.38578033447266,-80.15410614013672,-78.57942962646484,-77.61482238769531,-78.22663879394531,-78.80648803710938,-77.59817504882812,-76.64553833007812,-77.67442321777344,-78.5020523071289,-78.75630950927734,-78.2700424194336,-78.8263168334961,-76.04359436035156,-77.35213470458984,-79.80097198486328,-81.50983428955078,-82.57609558105469,-82.961181640625,-83.49967956542969,-83.85053253173828,1.0,-0.15081102,1.0982947,-2.4488373,2.7827225,-0.8099121,0.3877551020408163,0.6122448979591837,1.1086006,-0.0124287605,1.4100509,-4.091263,3.338997,0.18764496,1.4101056
-79.78475952148438,-79.9360122680664,-81.47136688232422,-81.48699188232422,-81.13526153564453,-81.38031005859375,-81.14423370361328,-80.90959930419922,-81.27058410644531,-80.62860107421875,-79.64350891113281,-79.61082458496094,-80.71855163574219,-81.8833999633789,-82.38578033447266,-80.15410614013672,-78.57942962646484,-77.61482238769531,-78.22663879394531,-78.80648803710938,-77.59817504882812,-76.64553833007812,-77.67442321777344,-78.5020523071289,-78.75630950927734,-78.2700424194336,-78.8263168334961,-76.04359436035156,-77.35213470458984,-79.80097198486328,-81.50983428955078,-82.57609558105469,-82.961181640625,-83.49967956542969,-83.85053253173828,-83.1192855834961,-82.63162994384766,-83.46871948242188,-83.25435638427734,-82.47261047363281,-83.87483978271484,-83.61624145507812,-82.6275405883789,-82.52101135253906,-83.1242904663086,-83.51692199707031,-82.70568084716797,-83.45524597167969,-83.6897964477539,-84.10287475585938,1.0,-0.088124804,0.9861748,-2.4488373,2.7827225,-0.19571686,0.42857142857142855,0.5714285714285714,0.99010444,-0.005454699,1.272196,-4.091263,3.338997,-0.17852783,1.272208
